PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,1,53,23,168.0,69,62,7,5,17,925258.0
Keita Bates-Diop,Spurs,Forward,6-8,229,USA,1996-01-23T00:00:00,4,48,163,2449.0,853,490,100,75,57,1729217.0
Nicolas Batum,Clippers,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,14,25,915,28029.0,10149,4707,3215,874,579,12213507.0
Kent Bazemore,Lakers,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,10,Undrafted,657,13546.0,5414,2072,1154,658,309,2401537.0
Darius Bazley,Thunder,Forward,6-8,208,USA,2000-06-12T00:00:00,3,23,185,4768.0,1841,1078,237,110,136,2513040.0
Bradley Beal,Wizards,Guard,6-4,207,USA,1993-06-28T00:00:00,10,3,645,22418.0,14231,2641,2701,727,251,34502130.0
Malik Beasley,Jazz,Guard,6-4,187,USA,1996-11-26T00:00:00,6,19,336,7025.0,3488,825,418,190,44,14391964.0
Davis Bertans,Mavericks,Forward,6-10,225,Latvia,1992-11-12T00:00:00,6,42,387,7379.0,3165,1045,392,168,147,16000000.0
Patrick Beverley,Lakers,Guard,6-1,180,USA,1988-07-12T00:00:00,10,42,526,14410.0,4654,2243,1839,602,271,14320988.0
Saddiq Bey,Pistons,Forward,6-7,215,USA,1999-04-09T00:00:00,2,19,152,4613.0,2178,759,328,125,30,2824320.0
Khem Birch,Raptors,Center,6-9,233,Canada,1992-09-28T00:00:00,5,Undrafted,262,4664.0,1359,1216,267,131,149,6350000.0
Goga Bitadze,Pacers,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,3,18,149,1762.0,752,433,115,40,139,3098400.0
Bismack Biyombo,Suns,Center,6-8,255,DRC,1992-08-28T00:00:00,11,7,738,14720.0,3814,4482,442,188,952,1366392.0
Nemanja Bjelica,Warriors,Forward,6-9,234,Serbia,1988-05-09T00:00:00,8,35,449,9172.0,3412,2051,825,288,184,2089448.0
Eric Bledsoe,Trail Blazers,Guard,6-1,214,USA,1989-12-09T00:00:00,13,18,756,21020.0,10348,2937,3545,1028,344,18125000.0
Keljin Blevins,Trail Blazers,Guard,6-4,200,USA,1995-11-24T00:00:00,2,,48,424.0,107,55,23,15,1,
Bogdan Bogdanovic,Hawks,Guard,6-6,225,Serbia,1992-08-18T00:00:00,5,27,316,9042.0,4501,1083,1073,325,73,18000000.0
Bojan Bogdanovic,Jazz,Forward,6-7,226,Croatia,1989-04-18T00:00:00,8,31,603,17519.0,9043,2184,945,334,42,18700000.0
Bol Bol,Magic,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,3,44,53,327.0,142,63,18,6,18,2161152.0
Leandro Bolmaro,Jazz,Forward,6-6,200,Argentina,2000-09-11T00:00:00,1,23,35,241.0,50,43,21,6,0,2353320.0
Isaac Bonga,Raptors,Guard,6-8,180,Germany,1999-11-08T00:00:00,4,39,143,1870.0,439,320,118,73,37,1729217.0
Devin Booker,Suns,Guard,6-5,206,USA,1996-10-30T00:00:00,7,13,477,16072.0,11217,1865,2228,398,128,31610000.0
Brandon Boston,Clippers,Guard,6-6,188,USA,2001-11-28T00:00:00,1,51,51,760.0,343,111,51,26,13,925258.0
Chris Boucher,Raptors,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,5,Undrafted,231,4126.0,2076,1232,116,112,271,7009615.0
James Bouknight,Hornets,Guard,6-4,190,USA,2000-09-18T00:00:00,1,11,31,304.0,142,52,26,7,1,4154400.0
Avery Bradley,Lakers,Guard,6-3,180,USA,1990-11-26T00:00:00,12,19,660,18152.0,7279,1863,1105,655,128,2641691.0
Tony Bradley,Bulls,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,5,28,167,1961.0,773,718,89,41,98,1789256.0
Ignas Brazdeikis,Magic,Forward,6-6,221,Canada,1999-01-08T00:00:00,3,47,64,838.0,318,122,58,14,7,
Mikal Bridges,Suns,Forward,6-6,209,USA,1996-08-30T00:00:00,4,10,309,9661.0,3483,1212,639,403,183,5557725.0
Miles Bridges,Hornets,Forward,6-7,225,USA,1998-03-21T00:00:00,4,12,291,8461.0,3893,1641,656,213,216,5421493.0
Oshae Brissett,Pacers,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,3,Undrafted,107,2218.0,879,499,97,67,50,1701593.0
Malcolm Brogdon,Celtics,Guard,6-5,229,USA,1992-12-11T00:00:00,6,36,333,10052.0,5159,1398,1596,285,77,21700000.0
Armoni Brooks,Raptors,Guard,6-3,195,USA,1998-06-05T00:00:00,3,,74,1364.0,511,171,92,40,16,1489065.0
Dillon Brooks,Grizzlies,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,5,45,272,7674.0,3955,829,546,260,82,12200000.0
Bruce Brown,Nuggets,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,4,42,269,6309.0,2056,1153,573,238,145,4736102.0
Jaylen Brown,Celtics,Guard-Forward,6-6,223,USA,1996-10-24T00:00:00,6,3,403,11559.0,6644,1994,822,381,146,24830357.0
Moses Brown,Clippers,Center,7-2,245,USA,1999-10-13T00:00:00,3,Undrafted,92,1297.0,552,532,12,39,64,1701593.0
Sterling Brown,Rockets,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,5,46,264,4435.0,1431,883,266,137,47,3000000.0
Greg Brown III,Trail Blazers,Forward,6-7,206,USA,2001-09-01T00:00:00,1,43,48,640.0,225,135,35,26,24,925258.0
Charlie Brown Jr.,76ers,Guard,6-6,199,USA,1997-02-02T00:00:00,3,Undrafted,41,370.0,90,53,17,16,8,
Chaundee Brown Jr.,Hawks,Forward,6-5,215,USA,1998-12-04T00:00:00,2,Undrafted,5,104.0,31,16,4,2,0,
Troy Brown Jr.,Lakers,Guard-Forward,6-6,215,USA,1999-07-28T00:00:00,4,15,221,4090.0,1408,836,353,152,23,5170564.0
Jalen Brunson,Knicks,Guard,6-1,190,USA,1996-08-31T00:00:00,4,33,277,6835.0,3286,843,1034,160,12,1802057.0
Thomas Bryant,Lakers,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,5,42,170,3425.0,1733,971,219,61,147,8730159.0
Reggie Bullock,Mavericks,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,9,25,434,9775.0,3382,1095,524,252,63,9536000.0
Trey Burke,Rockets,Guard,6-0,185,USA,1992-11-12T00:00:00,9,9,498,10401.0,4792,878,1522,274,52,3333333.0
Alec Burks,Pistons,Guard,6-6,214,USA,1991-07-20T00:00:00,11,12,625,14378.0,6649,2210,1264,438,132,9536000.0
Jared Butler,Jazz,Guard,6-3,193,USA,2000-08-25T00:00:00,1,40,42,360.0,161,45,63,17,8,925258.0
Jimmy Butler,Heat,Forward,6-7,230,USA,1989-09-14T00:00:00,11,30,690,22863.0,12222,3658,2836,1127,323,36016200.0
Devontae Cacok,Trail Blazers,Forward,6-7,240,USA,1996-10-08T00:00:00,3,Undrafted,36,228.0,91,79,8,13,11,
Kentavious Caldwell-Pope,Nuggets,Guard,6-5,204,USA,1993-02-18T00:00:00,9,8,683,19972.0,7911,2148,1150,748,154,13038862.0
Facundo Campazzo,Nuggets,Guard,5-10,195,Argentina,1991-03-23T00:00:00,3,Undrafted,130,2609.0,728,251,452,142,37,3804150.0
Vlatko Cancar,Nuggets,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,3,49,70,503.0,164,91,34,14,6,1782621.0
Devin Cannady,Magic,Guard,6-2,183,USA,1996-05-21T00:00:00,2,,13,219.0,84,11,11,10,4,
Clint Capela,Hawks,Center,6-10,256,Switzerland,1994-05-18T00:00:00,8,25,471,12614.0,5851,5023,465,328,713,17103448.0
Vernon Carey Jr.,Wizards,Forward-Center,6-9,270,USA,2001-02-25T00:00:00,2,32,26,159.0,66,39,2,3,6,1517981.0
Jevon Carter,Bucks,Guard,6-1,200,USA,1995-09-14T00:00:00,4,32,223,3144.0,984,386,320,126,51,4107149.0
Wendell Carter Jr.,Magic,Center-Forward,6-10,270,USA,1999-04-16T00:00:00,4,7,203,5593.0,2476,1803,404,130,179,6920027.0
Alex Caruso,Bulls,Guard,6-5,186,USA,1994-02-28T00:00:00,5,Undrafted,225,4631.0,1386,573,601,252,67,8604651.0
Justin Champagnie,Raptors,Guard-Forward,6-6,206,USA,2001-06-29T00:00:00,1,Undrafted,36,281.0,81,72,11,8,4,
Chris Chiozza,Warriors,Guard,5-11,175,USA,1995-11-21T00:00:00,4,Undrafted,91,1038.0,303,117,217,42,11,
Marquese Chriss,Rockets,Forward,6-9,240,USA,1997-07-02T00:00:00,6,8,292,5338.0,2206,1366,298,187,227,958529.0
Josh Christopher,Rockets,Guard,6-3,215,USA,2001-12-08T00:00:00,1,24,74,1334.0,587,186,150,65,13,2259240.0
Gary Clark,Pelicans,Forward,6-6,225,USA,1994-11-16T00:00:00,4,Undrafted,170,2239.0,524,431,84,52,62,377645.0
Brandon Clarke,Grizzlies,Forward,6-8,215,Canada,1996-09-19T00:00:00,3,21,181,3961.0,1976,1015,262,131,167,2726880.0
Jordan Clarkson,Jazz,Guard,6-4,194,USA,1992-06-07T00:00:00,8,46,600,16190.0,9216,1971,1526,515,88,12420000.0
Nic Claxton,Nets,Center,6-11,215,USA,1999-04-17T00:00:00,3,31,94,1755.0,688,474,87,48,99,1782621.0
Amir Coffey,Clippers,Guard-Forward,6-7,210,USA,1997-06-17T00:00:00,3,Undrafted,131,2121.0,817,257,160,53,17,
John Collins,Hawks,Forward-Center,6-9,226,USA,1997-09-23T00:00:00,5,19,293,8487.0,4837,2441,455,167,304,23000000.0
Zach Collins,Spurs,Forward-Center,6-11,250,USA,1997-11-19T00:00:00,4,10,182,3193.0,1099,767,200,60,125,6984127.0
Mike Conley,Jazz,Guard,6-1,175,USA,1987-10-11T00:00:00,15,4,958,30618.0,14221,2872,5407,1363,197,21000000.0
Pat Connaughton,Bucks,Guard,6-5,209,USA,1993-01-06T00:00:00,7,41,417,7717.0,2469,1392,521,197,118,5333333.0
Tyler Cook,Bulls,Forward,6-8,255,USA,1997-09-23T00:00:00,3,Undrafted,65,691.0,246,162,21,15,6,
Sharife Cooper,Hawks,Guard,6-1,176,USA,2001-06-11T00:00:00,2,48,13,39.0,7,5,5,0,0,
DeMarcus Cousins,Nuggets,Center,6-10,270,USA,1990-08-13T00:00:00,12,5,654,19509.0,12802,6664,1979,874,742,1290481.0
Robert Covington,Clippers,Forward,6-7,209,USA,1990-12-14T00:00:00,9,Undrafted,537,16064.0,6222,3122,803,861,527,12975471.0
Torrey Craig,Suns,Forward,6-7,221,USA,1990-12-19T00:00:00,5,Undrafted,300,5603.0,1698,1086,284,146,160,4878049.0
Jae Crowder,Suns,Forward,6-6,235,USA,1990-07-06T00:00:00,10,34,735,18561.0,7056,3141,1182,736,254,9720900.0
Jarrett Culver,Grizzlies,Guard-Forward,6-6,195,USA,1999-02-20T00:00:00,3,6,134,2343.0,890,364,167,94,52,6395160.0
Cade Cunningham,Pistons,Guard,6-6,220,USA,2001-09-25T00:00:00,1,1,64,2088.0,1114,354,356,78,43,10050120.0
Seth Curry,Nets,Guard,6-2,185,USA,1990-08-23T00:00:00,8,Undrafted,377,9489.0,4245,843,832,274,53,8186047.0
Stephen Curry,Warriors,Guard,6-2,185,USA,1988-03-14T00:00:00,13,7,826,28361.0,20064,3838,5388,1367,187,45780966.0
Anthony Davis,Lakers,Forward-Center,6-10,253,USA,1993-03-11T00:00:00,10,1,604,20805.0,14390,6162,1414,824,1413,35361360.0
Ed Davis,Cavaliers,Center-Forward,6-9,218,USA,1989-06-05T00:00:00,13,13,722,13757.0,4291,4616,539,349,566,2641691.0
Terence Davis,Kings,Guard,6-4,201,USA,1997-05-16T00:00:00,3,Undrafted,163,2820.0,1387,485,238,108,39,4000000.0
DeMar DeRozan,Bulls,Guard-Forward,6-6,220,USA,1989-08-07T00:00:00,13,9,957,32790.0,19869,4227,3729,935,280,26000000.0
Dewayne Dedmon,Heat,Center,7-0,245,USA,1989-08-12T00:00:00,9,Undrafted,477,8471.0,3056,2836,332,249,390,5256308.0
Donte DiVincenzo,Warriors,Guard,6-4,203,USA,1997-01-31T00:00:00,4,17,201,4752.0,1809,933,506,218,49,4675830.0
Hamidou Diallo,Pistons,Guard,6-5,202,USA,1998-07-31T00:00:00,4,45,207,3917.0,1748,813,227,170,60,5200000.0
Gorgui Dieng,Spurs,Center,6-10,248,Senegal,1990-01-18T00:00:00,9,21,597,12269.0,4470,3427,784,464,535,4000000.0
Spencer Dinwiddie,Mavericks,Guard,6-6,215,USA,1993-04-06T00:00:00,8,38,387,10207.0,5042,1167,1933,260,104,17142857.0
Luka Doncic,Mavericks,Forward-Guard,6-7,230,Slovenia,1999-02-28T00:00:00,4,3,264,8928.0,6962,2256,2102,278,111,10174391.0
Luguentz Dort,Thunder,Guard,6-3,215,Canada,1999-04-19T00:00:00,3,Undrafted,139,4029.0,1850,482,203,122,41,1782621.0
Ayo Dosunmu,Bulls,Guard,6-4,200,USA,2000-01-17T00:00:00,1,38,77,2110.0,679,214,256,60,29,925258.0
Goran Dragic,Bulls,Guard,6-3,190,Slovenia,1986-05-06T00:00:00,14,45,888,24733.0,12203,2735,4254,863,163,20168742.0
Andre Drummond,Bulls,Center,6-10,279,USA,1993-08-10T00:00:00,10,9,718,21267.0,9938,9519,1003,976,1055,2401537.0
Chris Duarte,Pacers,Guard,6-5,190,Dominican Republic,1997-06-13T00:00:00,1,13,55,1541.0,720,226,114,56,10,3749520.0
David Duke Jr.,Nets,Guard,6-4,204,USA,1999-10-13T00:00:00,1,Undrafted,22,341.0,104,67,17,14,7,
Kevin Durant,Nets,Forward,6-10,240,USA,1988-09-29T00:00:00,14,2,939,34508.0,25526,6646,4032,1021,1038,40918900.0
Anthony Edwards,Timberwolves,Guard,6-4,225,USA,2001-08-05T00:00:00,2,1,144,4780.0,2925,679,486,187,82,10245480.0
Carsen Edwards,Celtics,Guard,5-11,200,USA,1998-03-12T00:00:00,4,33,72,705.0,267,79,52,21,5,
Kessler Edwards,Nets,Forward,6-7,203,USA,2000-08-09T00:00:00,1,44,48,987.0,284,172,31,29,24,
CJ Elleby,Timberwolves,Forward-Guard,6-6,200,USA,2000-06-16T00:00:00,2,46,88,1367.0,407,259,97,41,22,1517981.0
Wayne Ellington,Lakers,Guard,6-4,207,USA,1987-11-29T00:00:00,13,28,770,16101.0,6190,1643,852,412,66,2641691.0
Joel Embiid,76ers,Center-Forward,7-0,280,Cameroon,1994-03-16T00:00:00,6,3,328,10240.0,8535,3732,1080,285,542,31579390.0
Derrick Favors,Thunder,Forward,6-9,265,USA,1991-07-15T00:00:00,12,3,790,19202.0,8354,5608,851,577,939,9720900.0
Bruno Fernando,Rockets,Forward-Center,6-9,240,Angola,1998-08-15T00:00:00,3,34,119,1091.0,379,331,66,23,31,1782621.0
Dorian Finney-Smith,Mavericks,Forward,6-7,220,USA,1993-05-04T00:00:00,6,Undrafted,394,10759.0,3229,1792,554,316,168,4000000.0
Malik Fitts,Celtics,Forward,6-5,230,USA,1997-07-04T00:00:00,3,Undrafted,18,74.0,24,20,5,0,0,85578.0
Malachi Flynn,Raptors,Guard,6-1,175,USA,1998-05-09T00:00:00,2,29,91,1465.0,542,179,207,58,11,2048040.0
Bryn Forbes,Timberwolves,Guard,6-2,205,USA,1993-07-23T00:00:00,6,Undrafted,406,8314.0,3687,703,506,156,12,
Trent Forrest,Hawks,Guard,6-4,210,USA,1998-06-12T00:00:00,2,Undrafted,90,1068.0,283,143,151,39,10,
Evan Fournier,Knicks,Guard-Forward,6-6,205,France,1992-10-29T00:00:00,10,20,645,18476.0,9222,1771,1676,570,98,18139535.0
De'Aaron Fox,Kings,Guard,6-3,185,USA,1997-12-20T00:00:00,5,5,322,10325.0,6148,1138,2005,432,142,28103550.0
Melvin Frazier Jr.,Magic,Guard-Forward,6-5,215,USA,1996-08-30T00:00:00,4,35,32,290.0,87,28,5,11,2,
Markelle Fultz,Magic,Guard,6-4,209,USA,1998-05-29T00:00:00,5,1,131,3251.0,1423,425,623,147,27,16500000.0
Wenyen Gabriel,Lakers,Forward,6-9,205,South Sudan,1997-03-26T00:00:00,3,Undrafted,77,835.0,276,203,33,25,26,
Daniel Gafford,Wizards,Forward-Center,6-9,234,USA,1998-10-01T00:00:00,3,38,169,2844.0,1277,744,118,69,230,1782621.0
Danilo Gallinari,Celtics,Forward,6-10,236,Italy,1988-08-08T00:00:00,13,6,728,21779.0,11327,3510,1414,537,262,20475000.0
Darius Garland,Cavaliers,Guard,6-1,192,USA,2000-01-26T00:00:00,3,5,181,6044.0,3142,464,1141,197,17,7040880.0
Usman Garuba,Rockets,Forward,6-8,229,Spain,2002-03-09T00:00:00,1,23,24,239.0,48,83,17,10,11,2353320.0
Luka Garza,Timberwolves,Center,6-10,243,USA,1998-12-27T00:00:00,1,52,32,389.0,186,100,20,9,6,925258.0
Rudy Gay,Jazz,Forward-Guard,6-8,250,USA,1986-08-17T00:00:00,16,8,1064,33745.0,17349,6120,2223,1212,780,5890000.0
Paul George,Clippers,Forward,6-8,220,USA,1990-05-02T00:00:00,12,10,737,24741.0,15029,4735,2641,1268,324,39344970.0
Taj Gibson,Wizards,Forward,6-9,232,USA,1985-06-24T00:00:00,13,26,896,21977.0,8088,5477,880,503,927,4910000.0
Josh Giddey,Thunder,Guard,6-8,205,Australia,2002-10-10T00:00:00,1,6,54,1700.0,674,421,345,51,20,5988000.0
Shai Gilgeous-Alexander,Thunder,Guard,6-6,180,Canada,1998-07-12T00:00:00,4,11,243,7724.0,4421,1088,1040,273,161,5495532.0
Anthony Gill,Wizards,Forward,6-7,230,USA,1992-10-17T00:00:00,2,Undrafted,70,681.0,260,136,38,15,15,1517981.0
Rudy Gobert,Timberwolves,Center,7-1,258,France,1992-06-26T00:00:00,9,27,611,18301.0,7592,7119,807,412,1357,35344828.0
Brandon Goodwin,Cavaliers,Guard,6-0,180,USA,1995-10-02T00:00:00,5,Undrafted,133,1609.0,628,211,251,54,5,
Aaron Gordon,Nuggets,Forward,6-8,235,USA,1995-09-16T00:00:00,8,4,528,15276.0,6887,3310,1313,389,335,16409091.0
Eric Gordon,Rockets,Guard,6-3,215,USA,1988-12-25T00:00:00,14,7,749,24259.0,12263,1811,2121,641,258,18218818.0
Devonte' Graham,Pelicans,Guard,6-1,195,USA,1995-02-22T00:00:00,4,34,240,6708.0,3080,600,1203,204,35,11000000.0
Jerami Grant,Trail Blazers,Forward,6-8,210,USA,1994-03-12T00:00:00,8,39,555,14455.0,6329,2189,747,348,615,20000000.0
Danny Green,Grizzlies,Guard,6-6,215,USA,1987-06-22T00:00:00,13,46,819,20741.0,7143,2811,1270,846,631,10000000.0
Draymond Green,Warriors,Forward,6-6,230,USA,1990-03-04T00:00:00,10,35,685,19511.0,5960,4750,3733,955,711,24026712.0
JaMychal Green,Warriors,Forward-Center,6-8,227,USA,1990-06-21T00:00:00,8,Undrafted,487,10136.0,3842,2781,445,273,203,8292683.0
Jalen Green,Rockets,Guard,6-4,186,USA,2002-02-09T00:00:00,1,2,67,2138.0,1157,226,176,44,18,8992200.0
Javonte Green,Bulls,Guard-Forward,6-5,205,USA,1993-07-23T00:00:00,3,Undrafted,154,2461.0,777,440,103,119,46,1669178.0
Jeff Green,Nuggets,Forward,6-8,235,USA,1986-08-28T00:00:00,14,5,1051,30464.0,13295,4502,1625,719,539,4500000.0
Josh Green,Mavericks,Guard,6-5,200,Australia,2000-11-16T00:00:00,2,18,106,1484.0,420,239,107,61,17,2957520.0
Blake Griffin,Nets,Forward,6-9,250,USA,1989-03-16T00:00:00,12,1,724,23817.0,14343,5954,2994,612,350,32405817.0
Quentin Grimes,Knicks,Guard,6-4,210,USA,2000-05-08T00:00:00,1,25,46,786.0,275,94,44,31,11,2168760.0
Rui Hachimura,Wizards,Forward,6-8,230,Japan,1998-02-08T00:00:00,3,9,147,4185.0,1913,766,217,104,24,4916160.0
Tyrese Haliburton,Pacers,Guard,6-5,185,USA,2000-02-29T00:00:00,2,12,135,4440.0,1934,484,937,211,77,4023600.0
R.J. Hampton,Magic,Guard,6-4,175,USA,2001-02-07T00:00:00,2,24,115,2291.0,843,373,245,63,23,2303040.0
Tim Hardaway Jr.,Mavericks,Guard-Forward,6-5,205,USA,1992-03-16T00:00:00,9,24,586,15838.0,8149,1650,1095,366,83,21306816.0
James Harden,76ers,Guard,6-5,220,USA,1989-08-26T00:00:00,13,3,942,32616.0,23477,5294,6397,1449,512,43848000.0
Maurice Harkless,Hawks,Forward-Guard,6-7,220,USA,1993-05-11T00:00:00,10,15,621,14019.0,4259,2198,572,583,399,4347600.0
Jared Harper,Pelicans,Guard,5-10,175,USA,1997-09-14T00:00:00,3,Undrafted,16,67.0,42,4,15,4,1,
Montrezl Harrell,Hornets,Forward-Center,6-7,240,USA,1994-01-26T00:00:00,7,32,458,9863.0,5900,2429,642,252,379,9720900.0
Gary Harris,Magic,Guard,6-4,210,USA,1994-09-14T00:00:00,8,19,468,13474.0,5526,1162,965,547,101,20482143.0
Joe Harris,Nets,Guard-Forward,6-6,220,USA,1991-09-06T00:00:00,8,33,414,10602.0,4584,1344,679,204,80,17357143.0
Tobias Harris,76ers,Forward,6-7,226,USA,1992-07-15T00:00:00,11,19,753,23619.0,12313,4660,1728,557,396,36000000.0
Josh Hart,Trail Blazers,Guard,6-5,215,USA,1995-03-06T00:00:00,5,30,296,8071.0,2918,1701,614,273,104,12000000.0
Isaiah Hartenstein,Knicks,Center-Forward,7-0,250,Germany,1998-05-05T00:00:00,4,43,165,2262.0,959,650,248,85,140,3430810.0
Udonis Haslem,Heat,Forward,6-8,235,USA,1980-06-09T00:00:00,19,Undrafted,872,21650.0,6559,5780,733,423,250,2641691.0
Sam Hauser,Celtics,Forward,6-7,217,USA,1997-12-08T00:00:00,1,Undrafted,26,158.0,65,29,10,1,2,313737.0
Jaxson Hayes,Pelicans,Center-Forward,6-11,220,USA,2000-05-23T00:00:00,3,8,194,3441.0,1575,831,134,84,148,5348280.0
Killian Hayes,Pistons,Guard,6-5,195,France,2001-07-27T00:00:00,2,7,92,2317.0,629,279,415,105,45,5572680.0
Gordon Hayward,Hornets,Forward,6-7,225,USA,1990-03-23T00:00:00,12,9,734,22831.0,11454,3302,2576,726,296,29900000.0
Juancho Hernangomez,Raptors,Forward,6-9,214,Spain,1995-09-28T00:00:00,6,15,297,4655.0,1589,1008,191,115,65,6175440.0
Willy Hernangomez,Pelicans,Center-Forward,6-11,250,Spain,1994-05-27T00:00:00,6,35,306,4691.0,2262,1802,331,128,121,2327220.0
Tyler Herro,Heat,Guard,6-5,195,USA,2000-01-20T00:00:00,3,13,175,5294.0,2925,821,568,113,34,4004280.0
Buddy Hield,Pacers,Guard,6-4,220,Bahamas,1992-12-17T00:00:00,6,6,468,13675.0,7463,2003,1180,383,136,22477273.0
Haywood Highsmith,Heat,Forward,6-4,220,USA,1996-12-09T00:00:00,2,,24,203.0,52,31,8,3,3,85578.0
George Hill,Bucks,Guard,6-4,188,USA,1986-05-04T00:00:00,14,26,869,23668.0,9313,2646,2697,780,227,4000000.0
